strategy,fire,trades,win_rate_pct,profit_factor,avg_holding_days,avg_return_pct,gross_pnl,net_pnl,cost_drag,baseline_pnl,delta_vs_baseline,decision,reason
EMA_Mean_Reversion,9/10,76,61.84,1.82,5.05,0.51,7662.4,4548.93,3113.4699999999993,8377.35,-3828.42,KEEP,"net +$4,549 on 76 trades, WR 61.8% (PF~1.82); survived cost drag of $3,113"
BB_Mean_Reversion,10/10,122,59.01,1.4,5.68,0.29,11650.37,2897.53,8752.84,12589.01,-9691.48,KEEP,"net +$2,898 on 122 trades, WR 59.0% (PF~1.40); survived cost drag of $8,753"
Breakout_Consolidation,8/10,18,55.56,0.65,15.83,0.1,3102.1,834.01,2268.09,683.2,150.80999999999995,RESEARCH-ONLY,net +$834 but only 18 trades -- positive edge is fragile; do not deploy without further validation
RSI_Swing_Reversal,2/10,2,50.0,0.0,8.0,0.07,168.74,144.32,24.420000000000016,168.74,-24.420000000000016,RESEARCH-ONLY,only 2 trades across 2/10 symbols (2y) -- too sparse to deploy or retire on; pnl=$+144 may be sample noise
Daily_NR_Breakout,1/10,2,100.0,0.0,2.0,1.51,1524.47,1505.97,18.5,1524.47,-18.5,NEEDS-FOLLOW-UP,"long-side only: net $+1,506 on 2 long trades. The strategy also emits short-side SELL entries that the engine currently drops (known harness defect). Re-evaluate after that fix."
Daily_Hammer_Star,2/10,2,100.0,0.0,4.5,0.45,921.53,899.6,21.92999999999995,808.46,91.13999999999999,NEEDS-FOLLOW-UP,long-side only: net $+900 on 2 long trades. The strategy also emits short-side SELL entries that the engine currently drops (known harness defect). Re-evaluate after that fix.
Daily_Engulfing_Volume,3/10,3,66.67,0.0,3.67,0.27,821.91,793.48,28.42999999999995,200.6,592.88,NEEDS-FOLLOW-UP,long-side only: net $+793 on 3 long trades. The strategy also emits short-side SELL entries that the engine currently drops (known harness defect). Re-evaluate after that fix.
Daily_Three_Bar_Push,2/10,2,50.0,0.0,6.0,-0.29,-539.05,-567.42,28.370000000000005,-539.05,-28.370000000000005,NEEDS-FOLLOW-UP,long-side only: net $-567 on 2 long trades. The strategy also emits short-side SELL entries that the engine currently drops (known harness defect). Re-evaluate after that fix.
Supertrend_Swing,10/10,22,40.91,1.2,21.14,-0.2,-1212.96,-2084.81,871.8499999999999,-1246.81,-838.0,RETIRE,"net $-2,085 on 22 trades, WR 40.9%, PF 1.20; cost drag $872; vs baseline Δ$-838 — persistently negative after corrections"
BB_Breakout,9/10,43,48.84,2.57,7.35,-0.26,-742.39,-2328.73,1586.3400000000001,-114.53,-2214.2,RETIRE,"net $-2,329 on 43 trades, WR 48.8%, PF 2.57; cost drag $1,586; vs baseline Δ$-2,214 — persistently negative after corrections"
MA_Crossover_RSI,10/10,57,40.35,0.75,7.02,-0.71,-6523.8,-7102.29,578.4899999999998,-6689.41,-412.8800000000001,RETIRE,"net $-7,102 on 57 trades, WR 40.4%, PF 0.75; cost drag $578; vs baseline Δ$-413 — persistently negative after corrections"
Fib_Pullback_Support,10/10,97,47.42,0.97,6.56,-1.17,-5555.14,-11792.61,6237.47,-11518.25,-274.3600000000006,RETIRE,"net $-11,793 on 97 trades, WR 47.4%, PF 0.97; cost drag $6,237; vs baseline Δ$-274 — persistently negative after corrections"
